chain,chainid
everclear,25327
ethereum,1
optimism,10
bsc,56
unichain,130
polygon,137
zksync_era,324
ronin,2020
base,8453
apechain,33139
mode,34443
arbitrum,42161
avalanche,43114
zircuit,48900
linea,59144
blast,81457
scroll,534352
taiko,167000
solana,1399811149
sonic,146
mantle,5000
ink,57073
berachain,80094
gnosis,100
