var_id,category,sub_category,data_type,parent_key,key,is_required
10001,GLOBAL,null,string,null,GLOBAL_PROD_DB_NAME,true
10002,GLOBAL,null,string,null,GLOBAL_NODE_SECRET_PATH,true
10003,GLOBAL,null,number,null,GLOBAL_BLOCKS_PER_HOUR,true
10004,GLOBAL,null,number,null,GLOBAL_START_UP_BLOCK,true
10005,GLOBAL,null,string,null,GLOBAL_WRAPPED_ASSET_ADDRESS,true
10006,GLOBAL,null,boolean,null,GOLD_FULL_REFRESH,false
10007,GLOBAL,null,boolean,null,SILVER_FULL_REFRESH,false
10008,GLOBAL,null,boolean,null,BRONZE_FULL_REFRESH,false
10009,MAIN_PACKAGE,STREAMLINE,boolean,null,BLOCKS_TRANSACTIONS_REALTIME_NEW_BUILD,false
10010,MAIN_PACKAGE,STREAMLINE,boolean,null,BLOCKS_TRANSACTIONS_HISTORY_NEW_BUILD,false
10011,MAIN_PACKAGE,STREAMLINE,boolean,null,RECEIPTS_REALTIME_NEW_BUILD,false
10012,MAIN_PACKAGE,STREAMLINE,boolean,null,RECEIPTS_HISTORY_NEW_BUILD,false
10013,MAIN_PACKAGE,STREAMLINE,boolean,null,TRACES_REALTIME_NEW_BUILD,false
10014,MAIN_PACKAGE,STREAMLINE,boolean,null,TRACES_HISTORY_NEW_BUILD,false
10015,MAIN_PACKAGE,STREAMLINE,boolean,null,CONFIRM_BLOCKS_REALTIME_NEW_BUILD,false
10016,MAIN_PACKAGE,STREAMLINE,boolean,null,CONFIRM_BLOCKS_HISTORY_NEW_BUILD,false
10017,MAIN_PACKAGE,STREAMLINE,number,null,BLOCKS_TRANSACTIONS_REALTIME_TESTING_LIMIT,false
10018,MAIN_PACKAGE,STREAMLINE,number,null,BLOCKS_TRANSACTIONS_HISTORY_TESTING_LIMIT,false
10019,MAIN_PACKAGE,STREAMLINE,number,null,RECEIPTS_REALTIME_TESTING_LIMIT,false
10020,MAIN_PACKAGE,STREAMLINE,number,null,RECEIPTS_HISTORY_TESTING_LIMIT,false
10021,MAIN_PACKAGE,STREAMLINE,number,null,TRACES_REALTIME_TESTING_LIMIT,false
10022,MAIN_PACKAGE,STREAMLINE,number,null,TRACES_HISTORY_TESTING_LIMIT,false
10023,MAIN_PACKAGE,STREAMLINE,number,null,CONFIRM_BLOCKS_REALTIME_TESTING_LIMIT,false
10024,MAIN_PACKAGE,STREAMLINE,number,null,CONFIRM_BLOCKS_HISTORY_TESTING_LIMIT,false
10025,MAIN_PACKAGE,STREAMLINE,number,null,BLOCKS_TRANSACTIONS_HISTORY_SQL_LIMIT,false
10026,MAIN_PACKAGE,STREAMLINE,number,null,BLOCKS_TRANSACTIONS_HISTORY_PRODUCER_BATCH_SIZE,false
